iter	Accuracy	MultiClass
354	0.78475	0.5709742292
355	0.785	0.5706744508
356	0.7855	0.570332591
357	0.785	0.5696588319
358	0.785125	0.5694813605
359	0.784625	0.5691825302
360	0.784625	0.5686575233
361	0.785125	0.5682566599
362	0.78475	0.5677971861
363	0.78625	0.5674913674
364	0.785625	0.5671234527
365	0.786	0.5666688207
366	0.78625	0.5665191728
367	0.786	0.5662093732
368	0.7865	0.5658148197
369	0.786625	0.5652395552
370	0.786875	0.5649978042
371	0.786875	0.5647348438
372	0.78775	0.5644461584
373	0.787875	0.5641816123
374	0.787625	0.5640113721
375	0.7885	0.5635974254
376	0.78825	0.5630900907
377	0.788625	0.5627995459
378	0.7895	0.5624907596
379	0.7895	0.5621484651
380	0.788875	0.5616299791
381	0.789875	0.5612852345
382	0.790375	0.5609820849
383	0.79075	0.5607380724
384	0.791125	0.5605244898
385	0.792125	0.5601725094
386	0.792125	0.5597126695
387	0.792875	0.5592570166
388	0.79325	0.5590999088
389	0.792875	0.558830953
390	0.792625	0.5587018705
391	0.792875	0.5581437415
392	0.792875	0.5577959716
393	0.792375	0.5574325503
394	0.792875	0.5569263357
395	0.79275	0.5567935603
396	0.793875	0.5563532137
397	0.793875	0.5559136322
398	0.793625	0.5555162262
399	0.794	0.5552181773
400	0.79425	0.5549111167
401	0.794125	0.5548310476
402	0.7945	0.5546755264
403	0.7945	0.5544561801
404	0.7945	0.5538512815
405	0.794875	0.5536747225
406	0.795	0.5530490569
407	0.7945	0.5527372077
408	0.79525	0.5522696722
409	0.79525	0.5518768705
410	0.795375	0.5516252072
411	0.795875	0.5513412115
412	0.796875	0.5512284545
413	0.797	0.5509140668
414	0.797625	0.550308282
415	0.7985	0.5498490319
416	0.79825	0.5496915049
417	0.79875	0.5492245453
418	0.8005	0.5487983352
419	0.800375	0.5486952506
420	0.8	0.5484578918
421	0.801875	0.5481445597
422	0.8015	0.5477387088
423	0.801875	0.5472442859
424	0.802	0.5467080814
